section,batch_number,topic,zip_file,relative_path,status,size_bytes
Admin,1,Admin Authentication + Security + Admin Profile,admin-batch-1-auth-security-profile.zip,all-batch-zips/admin-batch-1-auth-security-profile.zip,FOUND,16744
Admin,2,Admin User Management + Patient Profiles,admin-batch-2-user-management-patient-profiles.zip,all-batch-zips/admin-batch-2-user-management-patient-profiles.zip,FOUND,8769
Admin,3,Admin Doctor Management + Doctor Profile Verification + Contact Details,admin-batch-3-doctor-management-profile-contact.zip,all-batch-zips/admin-batch-3-doctor-management-profile-contact.zip,FOUND,11989
Admin,4,Admin Appointments + Medical Records,admin-batch-4-appointments-medical-records.zip,all-batch-zips/admin-batch-4-appointments-medical-records.zip,FOUND,10653
Admin,5,Content Management: Health Tips / Articles / Skin Diseases,admin-batch-5-content-management-health-tips-articles-skin-diseases.zip,all-batch-zips/admin-batch-5-content-management-health-tips-articles-skin-diseases.zip,FOUND,12283
Admin,6,Locations + Files Management,admin-batch-6-locations-files-management.zip,all-batch-zips/admin-batch-6-locations-files-management.zip,FOUND,14065
Admin,7,Packages / Features / Doctor Subscriptions,admin-batch-7-packages-features-doctor-subscriptions.zip,all-batch-zips/admin-batch-7-packages-features-doctor-subscriptions.zip,FOUND,12636
Admin,8,Medications / Prescriptions / Ratings,admin-batch-8-medications-prescriptions-ratings.zip,all-batch-zips/admin-batch-8-medications-prescriptions-ratings.zip,FOUND,16805
Admin,9,Admin AI Usage,admin-batch-9-admin-ai-usage.zip,all-batch-zips/admin-batch-9-admin-ai-usage.zip,FOUND,12892
Admin,10,Blocked Entities + Cross-Security Testing,admin-batch-10-blocked-entities-cross-security.zip,all-batch-zips/admin-batch-10-blocked-entities-cross-security.zip,FOUND,14364
Doctor,1,Doctor Authentication + Security + Sessions,doctor-batch-1-auth-security-sessions.zip,all-batch-zips/doctor-batch-1-auth-security-sessions.zip,FOUND,11511
Doctor,2,Doctor Profile + Basic / Complete Profile + Profile Picture + Deactivate / Reactivate,doctor-batch-2-profile-basic-complete-picture-reactivation.zip,all-batch-zips/doctor-batch-2-profile-basic-complete-picture-reactivation.zip,FOUND,13653
Doctor,3,Doctor Professional Data + Verification Documents,doctor-batch-3-professional-verification-documents.zip,all-batch-zips/doctor-batch-3-professional-verification-documents.zip,FOUND,14511
Doctor,4,Doctor Contact Details + Addresses,doctor-batch-4-contact-details-addresses.zip,all-batch-zips/doctor-batch-4-contact-details-addresses.zip,FOUND,12051
Doctor,5,Doctor Clinics + Clinic Images,doctor-batch-5-clinics-clinic-images.zip,all-batch-zips/doctor-batch-5-clinics-clinic-images.zip,FOUND,13370
Doctor,6,Doctor Schedules + Availability,doctor-batch-6-schedules-availability.zip,all-batch-zips/doctor-batch-6-schedules-availability.zip,FOUND,14439
Doctor,7,Doctor Subscriptions,doctor-batch-7-doctor-subscriptions.zip,all-batch-zips/doctor-batch-7-doctor-subscriptions.zip,FOUND,12889
